codigo latitud longitud elevacion anio mes chirps ideam
26055050 3.23333333333333 -76.5833333333333 1010 1981 1 84.4575881958008 47.5
26055050 3.23333333333333 -76.5833333333333 1010 1981 3 193.743041992188 148.6
26055050 3.23333333333333 -76.5833333333333 1010 1981 4 395.483612060547 426.8
26055050 3.23333333333333 -76.5833333333333 1010 1981 5 329.209686279297 300.6
26055050 3.23333333333333 -76.5833333333333 1010 1981 6 171.885040283203 141.7
26055050 3.23333333333333 -76.5833333333333 1010 1981 7 85.4707183837891 91.3
26055050 3.23333333333333 -76.5833333333333 1010 1981 8 112.829742431641 46.8
26055050 3.23333333333333 -76.5833333333333 1010 1981 9 82.3737335205078 42.2
26055050 3.23333333333333 -76.5833333333333 1010 1981 10 230.392608642578 178.8
26055050 3.23333333333333 -76.5833333333333 1010 1981 11 257.234313964844 232.1
26055050 3.23333333333333 -76.5833333333333 1010 1981 12 189.989227294922 135.7
26055050 3.23333333333333 -76.5833333333333 1010 1982 1 185.576858520508 216.6
26055050 3.23333333333333 -76.5833333333333 1010 1982 2 173.780853271484 115.1
26055050 3.23333333333333 -76.5833333333333 1010 1982 3 240.442001342773 115.2
26055050 3.23333333333333 -76.5833333333333 1010 1982 6 87.0456771850586 58.6
26055050 3.23333333333333 -76.5833333333333 1010 1982 7 63.5620384216309 66.8
26055050 3.23333333333333 -76.5833333333333 1010 1982 8 31.0809059143066 0.4
26055050 3.23333333333333 -76.5833333333333 1010 1982 10 331.84716796875 256.4
26055050 3.23333333333333 -76.5833333333333 1010 1982 11 332.589935302734 311.2
26055050 3.23333333333333 -76.5833333333333 1010 1982 12 278.316833496094 244.5
26055050 3.23333333333333 -76.5833333333333 1010 1983 1 93.863655090332 26.3
26055050 3.23333333333333 -76.5833333333333 1010 1983 2 63.0834350585938 23.8
26055050 3.23333333333333 -76.5833333333333 1010 1983 3 264.7705078125 251.7
26055050 3.23333333333333 -76.5833333333333 1010 1983 5 257.807678222656 229.1
26055050 3.23333333333333 -76.5833333333333 1010 1983 6 127.717109680176 98.7
26055050 3.23333333333333 -76.5833333333333 1010 1983 7 56.1381187438965 57.6
26055050 3.23333333333333 -76.5833333333333 1010 1983 8 46.2813911437988 20.5
26055050 3.23333333333333 -76.5833333333333 1010 1983 9 52.6114730834961 25.6
26055050 3.23333333333333 -76.5833333333333 1010 1983 10 229.706954956055 243.3
26055050 3.23333333333333 -76.5833333333333 1010 1983 11 216.426132202148 179
26055050 3.23333333333333 -76.5833333333333 1010 1983 12 284.474060058594 232.1
26055050 3.23333333333333 -76.5833333333333 1010 1984 1 251.687591552734 196.2
26055050 3.23333333333333 -76.5833333333333 1010 1984 3 174.818572998047 86.1
26055050 3.23333333333333 -76.5833333333333 1010 1984 5 235.541625976562 281.1
26055050 3.23333333333333 -76.5833333333333 1010 1984 6 157.080993652344 211.6
26055050 3.23333333333333 -76.5833333333333 1010 1984 7 88.5770721435547 83.2
26055050 3.23333333333333 -76.5833333333333 1010 1984 8 110.465408325195 111.8
26055050 3.23333333333333 -76.5833333333333 1010 1984 9 296.511627197266 304.9
26055050 3.23333333333333 -76.5833333333333 1010 1984 10 402.341156005859 430.5
26055050 3.23333333333333 -76.5833333333333 1010 1984 11 257.620178222656 325.8
26055050 3.23333333333333 -76.5833333333333 1010 1984 12 151.69206237793 77.6
26055050 3.23333333333333 -76.5833333333333 1010 1985 1 170.391464233398 238.9
26055050 3.23333333333333 -76.5833333333333 1010 1985 2 44.1386528015137 15.7
26055050 3.23333333333333 -76.5833333333333 1010 1985 4 165.399368286133 171.8
26055050 3.23333333333333 -76.5833333333333 1010 1985 5 169.242538452148 146.5
26055050 3.23333333333333 -76.5833333333333 1010 1985 7 51.4069900512695 29.3
26055050 3.23333333333333 -76.5833333333333 1010 1985 8 124.524078369141 122.7
26055050 3.23333333333333 -76.5833333333333 1010 1985 9 196.839416503906 243.9
26055050 3.23333333333333 -76.5833333333333 1010 1985 11 199.319351196289 110.9
26055050 3.23333333333333 -76.5833333333333 1010 1985 12 118.666603088379 73.8
26055050 3.23333333333333 -76.5833333333333 1010 1986 1 249.014801025391 229.5
26055050 3.23333333333333 -76.5833333333333 1010 1986 3 178.446044921875 131.2
26055050 3.23333333333333 -76.5833333333333 1010 1986 4 272.631134033203 297.2
26055050 3.23333333333333 -76.5833333333333 1010 1986 5 225.697845458984 192.7
26055050 3.23333333333333 -76.5833333333333 1010 1986 6 122.143325805664 165.3
26055050 3.23333333333333 -76.5833333333333 1010 1986 7 28.073127746582 4
26055050 3.23333333333333 -76.5833333333333 1010 1986 8 93.9462280273438 98.4
26055050 3.23333333333333 -76.5833333333333 1010 1986 9 118.049926757812 99.8
26055050 3.23333333333333 -76.5833333333333 1010 1986 11 295.414123535156 265.1
26055050 3.23333333333333 -76.5833333333333 1010 1987 1 86.8057556152344 67.4
26055050 3.23333333333333 -76.5833333333333 1010 1987 2 99.3083190917969 123.9
26055050 3.23333333333333 -76.5833333333333 1010 1987 3 164.099700927734 132.7
26055050 3.23333333333333 -76.5833333333333 1010 1987 4 236.937240600586 236.2
26055050 3.23333333333333 -76.5833333333333 1010 1987 5 198.678665161133 187.7
26055050 3.23333333333333 -76.5833333333333 1010 1987 6 109.597732543945 75.7
26055050 3.23333333333333 -76.5833333333333 1010 1987 7 111.990280151367 74.1
26055050 3.23333333333333 -76.5833333333333 1010 1987 8 96.4663696289062 76.7
26055050 3.23333333333333 -76.5833333333333 1010 1987 9 147.697250366211 196.1
26055050 3.23333333333333 -76.5833333333333 1010 1987 10 293.381042480469 260.3
